,0,1,2,3
193,-0.4800868,0.0052411184,0.6246206,-0.5000218
194,-0.43267107,0.06329193,0.82896966,-0.6879227
195,-0.94482636,0.028878227,2.0004325,-1.655255
196,0.022051066,-0.25431785,-1.0728457,-0.23982576
197,-0.83631,-0.01612509,1.4540684,-1.1858336
198,0.042929664,-0.20119703,-1.0330093,-0.17612037
199,0.0042418838,-0.18969485,-0.9880024,-0.14353111
200,0.005115181,-0.16778266,-0.9499111,-0.12475273
201,0.08165684,-0.1327742,-1.0033443,-0.12049928
202,-0.50519437,0.06174605,1.0138235,-0.8417274
203,-0.019583225,-0.20346177,-0.9595925,-0.14258888
204,-0.011372507,-0.1798211,-0.9330645,-0.12820414
205,-0.22435892,-0.28988203,-0.7468835,-0.16238657
206,-0.0076995343,0.17270367,0.069027066,-0.3414047
207,-0.06333555,-0.3133853,-1.0496937,-0.25557485
208,-0.013167515,-0.24583486,-1.0032976,-0.18640634
209,0.00610359,-0.2654475,-1.0516244,-0.22441646
210,-0.7200815,0.045680627,1.4960668,-1.2393705
211,-0.42622966,0.067649625,0.83661324,-0.69560504
212,-0.419464,0.066842556,0.8139449,-0.6764461
213,-0.13142887,-0.11830748,-0.394269,0.000421077
214,-0.20672414,-0.22335353,-0.71266747,-0.14772597
215,-0.22320169,-0.2305119,-0.69450605,-0.1429182
216,0.2273033,-0.03668662,-1.0283577,-0.1657916
217,0.22749275,-0.09510284,-1.313531,-0.4009709
218,0.27039725,-0.0682893,-1.3241602,-0.4185584
219,0.28263456,-0.06228607,-1.3178124,-0.41991118
220,0.30190837,-0.05492901,-1.3250227,-0.43459502
221,0.30424517,-0.053538643,-1.3156085,-0.42973188
222,-0.16017374,-0.3949926,-1.1303074,-0.41637555
223,-0.16043234,-0.39355958,-1.1401234,-0.41939178
224,-0.1724371,-0.3735654,-1.0851784,-0.3949282
225,-0.16466522,-0.3959537,-1.1293075,-0.41679153
226,-0.17457557,-0.39239055,-1.1117271,-0.40971598
227,-0.17509353,-0.38975358,-1.1108752,-0.41004828
228,-0.16683277,-0.38662532,-1.1114427,-0.4080067
229,-0.17446053,-0.38749403,-1.0969276,-0.40415064
230,-0.16599855,-0.3853833,-1.1083097,-0.4070485
